hazard_category,hazard_type,country,components,responsible_agency,iso3
Chemical,Oil Pollution,The Cayman Islands,C3,Department of Environment,CYM
Chemical,Oil Pollution,Dominica,C2,Dominica Air & Sea Port Authority,DMA
Chemical,Oil Pollution,Dominica,C3,Office of Disaster Management,DMA
Chemical,Oil Pollution,Grenada,C2,Grenada Coast Guard,GRD
Chemical,Oil Pollution,Grenada,C3,National Disaster Management Agency,GRD
Chemical,Oil Pollution,Guyana,"C2,C3",Maritime Administrative Department (MARAD),GUY
Chemical,Persistent Organic Pollutants,Guyana,C2,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),GUY
Chemical,Oil Pollution,Jamaica,C2,Jamaica Defence Force Coast Guard,JAM
Chemical,Oil Pollution,Jamaica,C3,Office of Disaster Preparedness & Emergency Management,JAM
Chemical,Oil Pollution,Montserrat,"C2,C3",Disaster Management Coordination Agency,MSR
Chemical,Oil Pollution,St. Kitts & Nevis,"C2,C3",National Emergency Management Agency,KNA
Chemical,Persistent Organic Pollutants,St. Kitts & Nevis,C1,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),KNA
Chemical,Oil Pollution,Saint Lucia,C2,Saint Lucia Air & Sea Port Authority Guard,LCA
Chemical,Oil Pollution,Saint Lucia,C3,National Emergency Management Organisation,LCA
Chemical,Persistent Organic Pollutants,Saint Lucia,C1,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),LCA
Chemical,Oil Pollution,St. Vincent & the Grenadines,C2,St. Vincent & the Grenadines Coast Guard,VCT
Chemical,Oil Pollution,St. Vincent & the Grenadines,C3,National Emergency Management Organisation,VCT
Chemical,Persistent Organic Pollutants,St. Vincent & the Grenadines,C1,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),VCT
Chemical,Oil Pollution,Suriname,C2,Maritime Authority of Suriname,SUR
Chemical,Oil Pollution,Suriname,C3,National Coordination Centre for Disaster Relief,SUR
Chemical,Persistent Organic Pollutants,Suriname,C1,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),SUR
Chemical,Oil Pollution,Trinidad & Tobago,C2,Ministry of Energy & Energy Affairs,TTO
Chemical,Oil Pollution,Trinidad & Tobago,C3,Office of Disaster Preparedness & Management,TTO
Chemical,Persistent Organic Pollutants,Trinidad & Tobago,C1,Basel Convention Regional Centre for Training and Technology Transfer for the Caribbean (BCRC-Caribbean),TTO
Chemical,Oil Pollution,Turks & Caicos,C2,Office of the Commissioner of Police,TCA
Chemical,Oil Pollution,Turks & Caicos,C3,Office of Disaster Preparedness,TCA
Societal,Civil Unrest,Regional,,CARICOM IMPACS,
Societal,Violence,Regional,,CARICOM IMPACS,
Societal,Financial Shock,Regional,,CARISEC,
